Bill ID,Title,State,Category,Status,Session,Likelihood,Last Action,Last Action Date,Sponsors,URL,Description
100001,"SB 1234 - Universal Healthcare Coverage Act",CA,Healthcare,Referred to Committee on Health,2025-2026 Regular Session,Medium,Referred to Senate Health Committee,2026-01-15,,https://leginfo.legislature.ca.gov,"Establishes a single-payer healthcare system providing comprehensive coverage to all state residents, funded through a payroll tax and general fund appropriations."
100002,HB 567 - School Choice Expansion Act,TX,Education,Passed House,89th Legislature,High,Passed House 85-60,2026-02-01,,https://capitol.texas.gov,"Expands school voucher programs to allow parents to use public education funds at private and charter schools of their choice."
100003,AB 890 - Criminal Justice Reform Act,NY,Criminal Justice,In Committee,2025-2026 Regular Session,Medium,Referred to Assembly Judiciary Committee,2026-01-20,,https://nyassembly.gov,"Reduces mandatory minimum sentences for non-violent drug offenses and establishes rehabilitative programs for incarcerated individuals."
100004,SB 234 - Property Tax Relief Act,FL,Taxation,Passed Senate,2026 Regular Session,High,Passed Senate 30-8,2026-02-10,,https://flsenate.gov,"Provides property tax exemptions for seniors and disabled veterans, caps annual property tax increases at 3%."
100005,HB 1011 - Clean Energy Transition Act,WA,Energy,In Committee,2025-2026 Regular Session,Medium,Referred to House Environment Committee,2026-01-25,,https://leg.wa.gov,"Mandates 100% renewable energy for electricity generation by 2040, establishes green energy tax credits for businesses."
100006,SB 445 - Voter ID Requirements Act,GA,Elections,Passed Senate,2025-2026 Regular Session,High,Passed Senate 33-22,2026-02-05,,https://legis.ga.gov,"Requires government-issued photo identification to vote in all state and local elections, provides free ID cards."
100007,AB 2100 - Affordable Housing Development Act,CA,Housing,In Committee,2025-2026 Regular Session,Medium,Referred to Assembly Housing Committee,2026-01-30,,https://leginfo.legislature.ca.gov,"Creates a $2 billion fund for affordable housing construction, streamlines zoning for multi-family developments."
100008,HB 789 - Data Privacy Protection Act,IL,Technology & Privacy,Passed House,103rd General Assembly,High,Passed House 72-41,2026-02-12,,https://ilga.gov,"Establishes comprehensive consumer data privacy rights including right to delete, opt-out of data sales, and data portability."
100009,SB 901 - Minimum Wage Increase Act,OR,Labor,In Committee,2025-2026 Regular Session,Medium,Referred to Senate Labor Committee,2026-01-18,,https://oregonlegislature.gov,"Raises the state minimum wage to $18/hour by 2028, with annual cost-of-living adjustments thereafter."
100010,HB 333 - Agricultural Water Rights Act,CO,Agriculture,In Committee,75th General Assembly,Medium,Referred to House Agriculture Committee,2026-02-08,,https://leg.colorado.gov,"Reforms water allocation for agricultural use, establishes conservation incentives for farmers."
100011,SB 678 - Concealed Carry Permit Reform,OH,Gun Policy,Passed Senate,135th General Assembly,High,Passed Senate 22-11,2026-01-28,,https://legislature.ohio.gov,"Eliminates permit requirements for concealed carry of handguns for residents over 21 with no felony convictions."
100012,AB 1500 - Immigrant Worker Protection Act,NJ,Immigration,In Committee,2026-2027 Session,Medium,Referred to Assembly Labor Committee,2026-02-14,,https://njleg.state.nj.us,"Provides workplace protections for undocumented workers including wage theft prevention and safe working conditions."
100013,HB 2200 - State Budget Transparency Act,PA,Budget & Appropriations,In Committee,2025-2026 Regular Session,Medium,Referred to House Appropriations Committee,2026-02-03,,https://legis.state.pa.us,"Requires all state agencies to publish detailed spending reports quarterly, creates an independent budget oversight board."
100014,SB 112 - Electric Vehicle Infrastructure Act,MI,Transportation,Passed Senate,103rd Legislature,High,Passed Senate 24-14,2026-01-22,,https://legislature.mi.gov,"Funds installation of 10,000 EV charging stations statewide, provides tax credits for EV purchases."
100015,HB 456 - Wetlands and Waterways Protection Act,MN,Environment,In Committee,93rd Legislature,Medium,Referred to House Environment Committee,2026-02-06,,https://leg.mn.gov,"Strengthens protections for wetlands and waterways, increases penalties for illegal dumping and pollution."
100016,AB 3000 - Telehealth Expansion Act,CA,Healthcare,Passed Assembly,2025-2026 Regular Session,High,Passed Assembly 55-18,2026-02-15,,https://leginfo.legislature.ca.gov,"Permanently authorizes telehealth services, requires insurance parity for virtual and in-person visits."
100017,SB 890 - Charter School Accountability Act,AZ,Education,In Committee,56th Legislature,Medium,Referred to Senate Education Committee,2026-01-12,,https://azleg.gov,"Requires charter schools to meet same transparency and performance standards as public schools."
100018,HB 1750 - Police Body Camera Act,VA,Criminal Justice,Passed House,2026 Session,High,Passed House 60-38,2026-02-11,,https://lis.virginia.gov,"Mandates body cameras for all law enforcement officers, establishes footage retention and public access policies."
100019,SB 555 - Corporate Tax Reform Act,MA,Taxation,In Committee,193rd General Court,Medium,Referred to Senate Revenue Committee,2026-01-29,,https://malegislature.gov,"Closes corporate tax loopholes, establishes a minimum effective corporate tax rate of 7.5%."
100020,HB 999 - Paid Family Leave Act,NC,Labor,In Committee,2025-2026 Session,Medium,Referred to House Commerce Committee,2026-02-09,,https://ncleg.gov,"Establishes 12 weeks of paid family and medical leave funded through employee and employer payroll contributions."
